ID,japanese,english
"楕円"        ,"2 0 2 1","la"
"双曲線"      ,"1 1 2 1","lb"
"交わる２曲線","1 1 1 1","lc"
"放物線"      ,"1 0 2 1","ld"
"並行２直線"  ,"1 0 1 1","le"





