ID,english,japanese
0,"giraffe","a tall African animal with a very long neck and legs"
1,"president","the leader of government in some countries"
2,"racism","the belief that some races of people are better than others"
3,"apartheid","the former social system in South Africa of separating people of different races"
4,"right","a thing that you are morally or legally allowed to do"
5,"plateau","a large area of flat land that os higher than other areas of land around it"
6,"silhouette","a dark shape seen against a light background"
7,"fabulous","very good"
