ID,japanese,english
0,"very ordinary and therfore not interesting",mundane
1,"documents that are used are used ofr a paticular activity",material
2,"someone or something that gives you ideas for doing something",inspiration
3,"existing or happening before this one",previous
4,"the possibility of something bad happening",risk
5,"a short performance that someone gives to try to get a job as an actor, etc.",audition
6,"to tell someone something that someone else has told you",pass on
7,"the people born and living about the same time, considered as a group",generation

