ID,japanese,english
0,鋼鉄                  ,alloy                  
1,天秤                  ,balance
2,触媒                  ,catalyst
3,真空度                ,degree of vacuum
4,電池                  ,battery
5,摩擦                  ,friction
6,直径                  ,diameter
7,湿度                  ,humidity
8,絶縁体                ,insulator
9, 石灰石               ,limestone
10,発電所               ,                     
11,貴金属               ,
12,兵士                 ,
13,石油製               ,
14,品質管               ,
15,放射能               ,
16,感度                 ,
17,換気                 ,
18,波長                 ,
19,気温                 ,
20,触媒                 ,
21,排出ガス             ,
22,交流                 ,
23,除草剤               ,
24,電子顕微鏡           ,
25,集積回路             ,
26,液化ガス             ,
27,単色                 ,  
28,強化プラスチック     ,        
29,速度                 
20,洗剤                 ,
31,欠陥車               ,
32,フロントガス         ,
33,下水                 ,
34,立方メートル         ,
35,地層                 ,
36,合成繊維             ,
37,酵母                 ,
38,環境基準             ,
39,実験                 ,      

power plant
noble metal
solder
petroleum product
quality control
radioactivity
sensitivity
ventilation
wavelength
temperature
crude oil
exhaust gas
alternating current
herbicide
electron microscope
integrated circuit
liquefied petroleum gas
monochrome
reinforced plastics
velocity
detergent
defective car
windshield
sewage
cubic meter
stratum
synthetic fiber
yeast
environmental standards
experiment              
