ID,english,japanese
0,"translate","to change words into another language"
1,"attract","to cause someone to be interested in something"
2,"export","to sell and send a product to another country"
3,"roof","the cover of a building"
4,"remove","to take something away from a place"
5,"fascinating","very interesting"
6,"exhibition","a collection of objects that are shown to the public"
7,"relative","a person who is connected with others by blood or marriage"
